title,authors,year,ml_category,ml_models,target_properties,dataset_size,data_type,features,number_of_features,extraction_notes
Can machine learning predict the liquidus temperature of binary alloys?,He Y.,2026,trained,linear regression; random forest; deep neural network,liquidus temperature (TL) of binary alloys,"85,523 binary alloy compositions from 429 binary alloy systems; about 201 compositions per system",experimental/literature phase-diagram data digitized from ASM Alloy Phase Diagram Database,atomic size difference; atomic size range; average melting temperature; difference in melting temperature; heat of mixing; normalized heat of mixing; crystal structure mismatch,7,"The JSON explicitly names seven physically informed features. The paper also tested elemental-property, composition-only, and random feature-vector baselines, but the elemental-property feature names/count are only referred to in supplementary material, not listed in the JSON."
Role of dislocation locking and unlocking in the yield strength anomaly of γ-TiAl revealed by machine-learning moment tensor potential,Tan A.M.Z.,2026,trained,Moment Tensor Potential (MTP) machine-learning interatomic potential,"interatomic energies/forces for Ti-Al atomistic simulations; used for dislocation/fracture, GSFE, elastic, surface, and decohesion behavior",not stated in JSON,computational/DFT-derived ML interatomic potential; used in MD/MS simulations,local atomic environments represented by MTP descriptors,,"The paper says the MTP was recently developed and purposely trained, but this JSON record does not state the training-set size or enumerate the moment-tensor basis/features."
Machine-learning prediction for solid–liquid interfacial properties from micrographs in Al–Cu and Fe–Mn alloys,Sakai Y.,2026,trained,convolutional neural network (CNN),solid-liquid interfacial free energy gamma0; anisotropy parameter epsilon,"43,400 Al-Cu simulated images and 38,640 Fe-Mn simulated images; split 80% training, 10% validation, 10% test",synthetic phase-field simulation images for training; experimental optical micrographs used for application/validation,256 x 256 binary as-cast microstructure image/pixel array,1,"Table 2 lists five morphological descriptors, but the JSON text says those descriptors were used to analyze structure-property relationships, not as CNN training inputs."
Modulation of structural short-range order due to chemical patterning in multi-component amorphous interfacial complexions,Hessong E.C.,2026,trained,MACE machine-learning interatomic potential (ML-IAP),DFT energies; DFT forces,"8,692 atomistic configurations",computational DFT/AIMD configurations; experimental STEM observations used for benchmarking,atomic species and local neighbor geometry encoded by MACE/local atomic environment descriptors,,"The JSON gives the configuration count and database classes, but it does not enumerate MACE descriptor components or a feature count."
"Data-selective machine learning framework (DSML) for defect-aware, interpretable yield-strength prediction for LPBF-fabricated AlSi10Mg alloys",Lee J.A.,2026,trained,LASSO; lasso least angle regression (LLAR); k-nearest neighbors (KNN); ridge regression; Bayesian ridge; linear regression; ensemble tree regressor (ETR); PySR symbolic regression,yield strength sigmaYS; porosity for porosity submodels,Dataset 1: 44 complete literature data combinations for yield-strength modeling; Dataset 2: 111 experimental data combinations for porosity modeling; Porosity Model 2 used Dataset 1 + Dataset 2 (155 combinations),mixed literature experimental data and new LPBF experimental measurements,laser power (LP); scan speed (SS); layer thickness (LT); hatch spacing (HS); preheating temperature (Tpre); volumetric energy density (VED); cell size (dcell); grain size (dgrain); porosity,9,The yield-strength symbolic-regression models use eight or nine process-structure descriptors depending on whether porosity is included; porosity models use a reduced five-dimensional process descriptor set.
Revealing cryo-loading induced twinning and its impact on titanium via correlative data-driven mechanomicroscopy,Liang X.,2026,trained,locally weighted linear regression (LWLR); ridge regression (RR),twin number; twin area fraction; twin boundary length fraction; nanoindentation hardness,"378 twinned grains for twin statistics; 6,659 initial nanoindentation hardness points; about 30,000 cryo-rolled nanoindentation points","experimental EBSD, TEM, and nanoindentation data",grain size; maximum Schmid factor (SFmax); Phi angle between crystal c-axis and normal direction; microstructure/twin category,4,"LWLR uses grain size and SFmax for twin metrics. Ridge regression uses Phi within pre-classified regions: initial Ti, {10-12} twins, {11-22} primary twins, {11-22} secondary twins, and non-twinned matrix."
Local chemical inhomogeneities in Al-containing multi-principal element alloys explored by utilizing an ab-initio based approach,Wang M.,2026,trained,"cluster expansion (CE) fitted with LASSO; agglomerative hierarchical clustering (AHC, Ward method)",mixing enthalpy/energetics of BCC Ti-Al-Nb-Zr configurations; local atomic environment dispersion (LAED) / composition undulation; order-disorder transition temperature from Warren-Cowley parameters,"8,371 BCC reference configurations calculated by DFT; 4,454 configurations retained for fitting after screening",computational DFT data with experimental verification alloys,CE site occupation variables sigma_p; CE cluster functions / effective cluster interactions for two- to six-body clusters; local Ti concentration; local Al concentration; local Nb concentration; local Zr concentration,,"The AHC local-composition descriptor has M=4 dimensions for Ti, Al, Nb, and Zr. The number of selected CE cluster features is not stated in the JSON, so a total feature count for the trained CE model cannot be determined."
Data-driven design of Nb-W refractory alloys using Transformer-based stress-strain modeling,Wei D.,2026,trained,multimodal Transformer generative stress-strain model (MTGSS); SteelBERT text encoder; Mixture-of-Experts layer,full tensile stress-strain trajectories / stress at each strain step,92 tensile stress-strain curves: 8 from literature and 84 from in-house experiments; each curve typically sampled to 512 strain-stress points,experimental and literature stress-strain data,strain history/fragment (512 points up to 2% strain); valence electron concentration (VEC); mixing enthalpy; mixing entropy; atomic size mismatch; natural-language composition and processing-route prompt encoded by SteelBERT,6,The numeric strain stream is a sequence rather than a scalar tabular feature; it is counted as one named input stream here.
Phase crossover enables large work output and low thermal hysteresis in shape memory actuation,Wang Y.,2026,trained; finetuned,Kriging surrogate models; active learning with Expected Hypervolume Improvement (EHVI),transformation enthalpy DeltaH; thermal hysteresis DeltaT; hardness; hardness x enthalpy proxy for work output,"65 TiNiCuHfCo alloys synthesized, processed, and characterized in the lab for surrogate-model training; 21,021 virtual processing combinations used as the search domain",experimental laboratory data,Ti content; Ni content; Cu content; Hf content; Co content; cold rolling amount; annealing temperature; annealing time,8,"For the fixed Cu8 crossover composition, the active-learning search varies only the three processing features. The training database also includes chemical compositions."
Data-driven determination of the critical inclusion characteristic size in powder metallurgy superalloys,Wang H.,2026,trained,multilayer perceptron neural network (MLP NN); ridge regression (RR); support vector regression (SVR); random forest (RF); physics-informed CICS-Transformer with Bayesian dropout,fatigue indicator parameter Max Pac; critical inclusion characteristic size (CICS) inferred from Max Pac,27 CPFE simulation groups/cases; repeated 5-fold cross-validation repeated 10 times; Gaussian-noise augmentation used for the NN,synthetic CPFE simulation dataset guided by low-cycle-fatigue experiments,inclusion equivalent diameter/size (D); shape factor (eta); distance from surface / inclusion position (L); cyclic amplitude of maximum principal strain (Delta epsilon_xx); peak equivalent stress (sigma_e); plastic work / energy dissipation (W),6,"The base MLP used D, eta, and L; the CICS-Transformer adds the three physics-informed CPFE response features."
Hydrogen diffusion in TiCr2Hx Laves phases: A combined ab initio and machine-learning-potential study,Kumar P.,2026,trained,Moment Tensor Potential (MTP): C14-MTP and C15-MTP,DFT energies; DFT forces; DFT stresses for MLIP training; used to compute hydrogen diffusion coefficients and migration behavior,"C14-MTP fine-tuning added 101 configurations, increasing the C14 training set from 18,902 to 19,003 structures; C15-MTP was used without fine-tuning",computational DFT/active-learning data and classical MD with MLIPs,local atomic environments represented by MTP descriptors,,The JSON states the structure counts but does not enumerate MTP basis functions/features.
"Small features, big impact: Influence of overlooked microstructural features on high-entropy alloy predictions",Mousavi S.E.,2026,trained,linear regression (LR); regression trees (RT); support vector machines (SVM); Gaussian process regression (GPR); kernel approximation regression (KAR); multi-layer feed-forward neural networks (MLFFNN/NN),hardness of AlCrFeNiTi high-entropy alloys,"181 alloy compositions initially, expanded to 203 alloys after adding 20 targeted alloys; 70% training and 30% testing split",self-established experimental alloy dataset,Al atomic percent; Cr atomic percent; Fe atomic percent; Ni atomic percent; Ti atomic percent,5,The paper intentionally limited inputs to five composition features and added targeted compositions to implicitly account for nano-precipitates.
