title,authors,year,doi,ml_category,ml_models,ml_models_quote,target_properties,target_properties_quote,dataset_size,dataset_size_quote,data_type,data_type_quote,features,features_quote,num_features,num_features_explanation,performance_metric,performance_metric_quote,metric_value,metric_type,confidence,confidence_explanation,recommend_exclude,exclude_reason,extraction_model
Role of dislocation locking and unlocking in the yield strength anomaly of γ-TiAl revealed by machine-learning moment tensor potential,Tan A.M.Z.,2026,10.1016/j.actamat.2026.122169,trained,Moment Tensor Potential (MTP),"Moment Tensor Potential (MTP) — ""Interatomic interactions are described by a recently-developed MLIP [25] based on the Moment Tensor Potential (MTP) framework [53].""","elastic constants, surface energies and decohesions, GSFE surfaces/lines","elastic constants — ""Most importantly, it reproduces many lattice and defect properties, including the elastic constants, surface energies and decohesions, GSFE surfaces/lines in both intermetallic phases, with greater accuracy compared to previous interatomic potentials.""
surface energies and decohesions — ""Most importantly, it reproduces many lattice and defect properties, including the elastic constants, surface energies and decohesions, GSFE surfaces/lines in both intermetallic phases, with greater accuracy compared to previous interatomic potentials.""
GSFE surfaces/lines — ""Most importantly, it reproduces many lattice and defect properties, including the elastic constants, surface energies and decohesions, GSFE surfaces/lines in both intermetallic phases, with greater accuracy compared to previous interatomic potentials.""",NR,"We model this structural randomness by evaluating 10 different samples for each composition and temperature, and plot the mean transition times with error bars indicating the range of values obtained across the 10 samples as shown in Fig.",computational,This MTP was purposely trained for modeling dislocation and fracture properties in γ -TiAl and α 2 -Ti3Al.,NR,NR,NR,"The context does not list input descriptors/features fed into the model. The MTP is an interatomic potential operating on atomic configurations, and no explicit feature set is enumerated.",NR,NR,NR,NR,medium,"ml_models and target_properties were found, and data_type is computational. However, dataset_size is null (only sample counts of 10 per condition are given, not a training set size), features list is empty, num_features is null, and no quantitative performance metric is reported.",yes,"MLIP/force field (Moment Tensor Potential) used to drive MD/MS simulations for predicting energies/forces, not predicting an alloy property from a feature dataset.",claude-opus-4-8
Modulation of structural short-range order due to chemical patterning in multi-component amorphous interfacial complexions,Hessong E.C.,2026,10.1016/j.actamat.2026.122108,trained,MACE machine learning interatomic potential,"MACE machine learning interatomic potential — ""As such, a new machine learning interatomic potential (ML-IAP) for the Cu-Zr-Nb system was created using the MACE package [48] based on 8692 different atomic configurations, with structural optimization and system energy calculations performed with density functional theory (DFT) using the Vienna ab initio simulation package (VASP).""","energy, atomic forces","energy — ""Figure S13 shows the results on training and validation datasets for the ML-IAP, where good performance is observed with small root mean square errors of 5.4 and 5.9 meV/atom for energy.""
atomic forces — ""For forces, the component-wise RMSE values are 86.8, 86.2, and 85.2 meV/Å for the x-, y-, and z-directions in the training set and 86.2, 85.6, and 83.7 meV/Å for the corresponding directions in the validation set.""",8692,"As such, a new machine learning interatomic potential (ML-IAP) for the Cu-Zr-Nb system was created using the MACE package [48] based on 8692 different atomic configurations, with structural optimization and system energy calculations performed with density functional theory (DFT) using the Vienna ab initio simulation package (VASP).",computational,"As such, a new machine learning interatomic potential (ML-IAP) for the Cu-Zr-Nb system was created using the MACE package [48] based on 8692 different atomic configurations, with structural optimization and system energy calculations performed with density functional theory (DFT) using the Vienna ab initio simulation package (VASP).","local composition features (average and variance of element composition within first coordination shell), pairwise distance statistics (mean, standard deviation, coordination numbers per element pair), geometric descriptors of local coordination patterns","local composition features (average and variance of element composition within first coordination shell) — ""Structural fingerprints are calculated to characterize local atomic environments through multiple descriptors: local composition features capturing the average and variance of element composition within the first coordination shell of each atom type, pairwise distance statistics including mean, standard deviation, and coordination numbers for each element pair, and geometric descriptors of local coordination patterns.""
pairwise distance statistics (mean, standard deviation, coordination numbers per element pair) — ""Structural fingerprints are calculated to characterize local atomic environments through multiple descriptors: local composition features capturing the average and variance of element composition within the first coordination shell of each atom type, pairwise distance statistics including mean, standard deviation, and coordination numbers for each element pair, and geometric descriptors of local coordination patterns.""
geometric descriptors of local coordination patterns — ""Structural fingerprints are calculated to characterize local atomic environments through multiple descriptors: local composition features capturing the average and variance of element composition within the first coordination shell of each atom type, pairwise distance statistics including mean, standard deviation, and coordination numbers for each element pair, and geometric descriptors of local coordination patterns.""",3,"The single sentence describing structural fingerprints names three categories of descriptors: local composition features, pairwise distance statistics, and geometric descriptors of local coordination patterns. These were used for hierarchical clustering of structures, not necessarily as direct model inputs (the MACE potential uses its own internal representation), but they are the only explicitly named feature/descriptor set.","RMSE=5.4 meV/atom (training), 5.9 meV/atom (validation) for energy","Figure S13 shows the results on training and validation datasets for the ML-IAP, where good performance is observed with small root mean square errors of 5.4 and 5.9 meV/atom for energy.",5.9,RMSE,high,"All core fields were found: ml_models (MACE ML-IAP), target_properties (energy and forces), dataset_size (8692), data_type (computational, DFT-generated), features (structural fingerprints), and performance_metric (RMSE on energy/forces). All fields are supported by verbatim quotes.",yes,"The paper's only ML component is a machine-learned interatomic potential (MACE ML-IAP) trained on DFT to predict energies/forces and used to drive MD/MC simulations, rather than predicting an alloy property from a feature dataset (MLIP/force field for MD, not property prediction).",claude-opus-4-8
Hydrogen diffusion in TiCr2Hx Laves phases: A combined ab initio and machine-learning-potential study,Kumar P.,2026,10.1016/j.actamat.2026.122048,trained,Moment Tensor Potential (MTP),"Moment Tensor Potential (MTP) — ""These MLIPs, specifically moment tensor potentials (MTPs) [49], reproduce the DFT energies with an accuracy of approximately 3meV/atom for a wide range of hydrogen concentrations, i.e., TiCr2H x where 0 ≤ x ≤ 6.""","Hydrogen diffusion coefficient, Hydrogen migration energy / activation barrier, Hydrogen binding energy, Energies, forces, and stresses","Hydrogen diffusion coefficient — ""The hydrogen diffusion coefficient was computed from the mean squared displacement (MSD) of hydrogen atoms in an MD simulation.""
Hydrogen migration energy / activation barrier — ""Table 3 shows the migration energies of a single hydrogen atom for all the symmetrically distinct migration paths in the TiCr2 Laves phases obtained from DFT in conjunction with the G-SSNEB method.""
Hydrogen binding energy — ""Figure S3: Comparison of DFT and MTP binding energies for different site types in the C14 and C15 phases.""
Energies, forces, and stresses — ""The energies, forces, and stresses of these additional configurations were computed with single-point DFT calculations, and the thus labeled configurations were incorporated into the original training dataset.""",19003,"Through this fine-tuning, 101 new configurations were added to the training dataset, increasing its size from 18902 to 19003 structures.",computational,"The energies, forces, and stresses of these additional configurations were computed with single-point DFT calculations, and the thus labeled configurations were incorporated into the original training dataset.",NR,NR,NR,"The paper describes an MLIP (moment tensor potential) trained on atomic configurations to predict energies, forces, and stresses. No explicit input feature/descriptor list is provided in the context; MTPs use internal moment tensor descriptors of atomic environments, but these are not enumerated as discrete features in the text.",RMSE=2.87 meV/atom (energy),"The fine-tuned C14-MTP achieves RMSEs of 2.87meV/atom for energies and 0.095 eV/Å for forces on the training set, comparable to the original C14-MTP.",2.87,RMSE,medium,"ml_models, target_properties, dataset_size, data_type, and performance_metric are all clearly supported. The features list is empty and num_features is null because the text does not enumerate explicit input descriptors (the model is an MLIP using internal atomic environment descriptors).",yes,"MLIP/force field (moment tensor potential) used to drive MD simulations of hydrogen diffusion, not a property-prediction model trained on a feature dataset.",claude-opus-4-8
Liquid metal embrittlement in Fe-Zn: What can we learn from atomistic simulations?,Brunner F.,2026,10.1016/j.actamat.2026.121989,trained,"ACE, MTP, NNIP","ACE — ""The atomic cluster expansion (ACE) approach [49], as implemented in the PACEMAKER software package [49–51,53], version 0.2.7, was used in this work to train Fe-Zn ML IAPs.""
MTP — ""[45] studied the ability of their Fe-Zn MTP to reproduce the formation energy E f and elastic constants C i j of ζ and Γ intermetallics, thereby also providing corresponding DFT reference values.""
NNIP — ""For Zn, the Fe-Zn ACE IAP features a quality factor of 13 .5% and, therefore, clearly outperforms the Fe-Zn MTP (34.5%) and the pure Zn NNIP (48.0%).""","formation energy, elastic constants, vacancy formation energy, surface energy, stacking fault energy, cohesive energy, lattice parameters","formation energy — ""Since the predictions of the trained model match the DFT reference values well, we also computed the formation energy and elastic constants of Γ 1 intermetallics.""
elastic constants — ""[45] studied the ability of their Fe-Zn MTP to reproduce the formation energy E f and elastic constants C i j of ζ and Γ intermetallics, thereby also providing corresponding DFT reference values.""
vacancy formation energy — ""S3, a selection of important (mechanical) base quantities of Zn is listed, which include the lattice parameters a and c, the cohesive energy Ecoh, the elastic constants Cij, the (mono-)vacancy formation energy Ef,vac , the surface energies for low-index ( ijkl )-planes, γs,(ijkl) and the (stable) stacking fault energy γI2 sf for dislocation emission on the basal plane.""
surface energy — ""S3, a selection of important (mechanical) base quantities of Zn is listed, which include the lattice parameters a and c, the cohesive energy Ecoh, the elastic constants Cij, the (mono-)vacancy formation energy Ef,vac , the surface energies for low-index ( ijkl )-planes, γs,(ijkl) and the (stable) stacking fault energy γI2 sf for dislocation emission on the basal plane.""
stacking fault energy — ""S3, a selection of important (mechanical) base quantities of Zn is listed, which include the lattice parameters a and c, the cohesive energy Ecoh, the elastic constants Cij, the (mono-)vacancy formation energy Ef,vac , the surface energies for low-index ( ijkl )-planes, γs,(ijkl) and the (stable) stacking fault energy γI2 sf for dislocation emission on the basal plane.""
cohesive energy — ""S3, a selection of important (mechanical) base quantities of Zn is listed, which include the lattice parameters a and c, the cohesive energy Ecoh, the elastic constants Cij, the (mono-)vacancy formation energy Ef,vac , the surface energies for low-index ( ijkl )-planes, γs,(ijkl) and the (stable) stacking fault energy γI2 sf for dislocation emission on the basal plane.""
lattice parameters — ""S3, a selection of important (mechanical) base quantities of Zn is listed, which include the lattice parameters a and c, the cohesive energy Ecoh, the elastic constants Cij, the (mono-)vacancy formation energy Ef,vac , the surface energies for low-index ( ijkl )-planes, γs,(ijkl) and the (stable) stacking fault energy γI2 sf for dislocation emission on the basal plane.""",10639,"Overall, DB I and II contain 10,639 structures with a total of 427,143 atoms, of which 1048 are DFT equilibrium structures, containing 35,363 atoms, and the rest are non-equilibrium structures, obtained via HAL.",computational,"Overall, DB I and II contain 10,639 structures with a total of 427,143 atoms, of which 1048 are DFT equilibrium structures, containing 35,363 atoms, and the rest are non-equilibrium structures, obtained via HAL.",atomic positions / cluster expansion descriptors,"atomic positions / cluster expansion descriptors — ""The atomic cluster expansion (ACE) approach [49], as implemented in the PACEMAKER software package [49–51,53], version 0.2.7, was used in this work to train Fe-Zn ML IAPs.""",NR,The paper uses an ACE interatomic potential where inputs are atomic environments described by cluster expansion basis functions; no explicit count of input features/descriptors is stated in the context.,"RMSE energy=9.4 meV/at, force=52.0 meV/Å (testing)","During the testing stage of the PACEMAKER training, energy and force RMSE values were reduced to 9.4meV/at and 52.0meV/Å, respectively.",9.4,RMSE,medium,"Most fields were found (ml_models, target_properties, dataset_size, data_type, performance_metric). num_features is null because the ACE descriptor count is not explicitly stated, and features could only be inferred broadly from the ACE method.",yes,"MLIP/force field (ACE interatomic potential) used to drive MD/MS fracture simulations, not property prediction from a feature dataset.",claude-opus-4-8
Dislocation-mediated short-range order evolution during thermomechanical processing,Islam M.,2026,10.1016/j.actamat.2025.121838,trained,Atomic Cluster Expansion (ACE) machine learning interatomic potential,"Atomic Cluster Expansion (ACE) machine learning interatomic potential — ""The resulting DFT energies and forces were used to train a machine learning interatomic potential based on the atomic cluster expansion framework, with hyperparameters optimized to balance both accuracy and generalization [44,52,53].""","Energies, Atomic forces","Energies — ""The energies and forces obtained from the DFT calculations were used to train a machine-learning inter- atomic potential based on the atomic cluster expansion framework.""
Atomic forces — ""Density functional theory (DFT) calculations were performed to obtain energies and atomic forces for all configurations in the dataset (see Supplementary Information table 1).""",3201,"T otal 3,201 218,090",computational,Density functional theory (DFT) calculations were performed to obtain energies and atomic forces for all configurations in the dataset (see Supplementary Information table 1).,Atomic environments / local chemical motifs,"Atomic environments / local chemical motifs — ""The elemental compositions for all structures except pure bcc and B2 binaries were sampled across the entire TiTaVW local chemical motif space using a modifed implementation of the optimal sampling approach developed in ref.""",NR,"The paper does not state an explicit count of input features/descriptors for the MLIP. The atomic cluster expansion uses atomic environments as inputs, but no numeric descriptor count is given in the provided context.",MAE = 18.34 meV/atom (energy),Supplementary Figure 1: Parity plots comparing the machine-learning interatomic potential (MLIP) predictions of a) energies and b) forces against the corresponding DFT values in the training dataset.,18.34,MAE,medium,"ml_models, target_properties, dataset_size, data_type, and performance_metric were all found. num_features is null because the paper does not state an explicit feature count for the MLIP. The model is a machine-learned interatomic potential used for MD simulations.",yes,"MLIP/force field for MD, not property prediction — the only ML component is a machine-learned interatomic potential (ACE) trained on DFT energies/forces to drive molecular dynamics simulations.",claude-opus-4-8
Interfacial atomic vibration: A key dynamic characteristic for heterogeneous nucleation substrates,Wu D.,2026,10.1016/j.actamat.2026.121948,trained,"Machine Learning Force Field (MLFF), Bayesian linear regression","Machine Learning Force Field (MLFF) — ""The accuracy of MLFF developed for each X element was validated by analyzing the Bayesian errors and Root Mean Square Errors (RMSE) in forces and energies during the training process, as presented in Fig.""
Bayesian linear regression — ""While traditional force fields were trained based on static datasets, this method utilized Bayesian linear regression to dynamically construct potential energy surfaces during simulation.""","Energies and forces (potential energy surfaces), Vibrational density of states (VDOS)","Energies and forces (potential energy surfaces) — ""While traditional force fields were trained based on static datasets, this method utilized Bayesian linear regression to dynamically construct potential energy surfaces during simulation.""
Vibrational density of states (VDOS) — ""To characterize the dynamic features in the frequency domain, the vibrational density of states (VDOS) was derived from the velocity autocorrelation function (VACF) of the atoms in the AIMD-MLFF trajectories.""",412,This hexagonal supercell (a = b = 12.16 Å) contains a total of 412 atoms and has a vacuum layer of 15 Å in the z direction to avoid periodic effects.,computational,All ab initio calculations were performed using the Vienna Ab initio Simulation Package (VASP) [28–30] combined with the Projection Augmented Wave (PAW) method [31].,"Potential well depth (Ew), Interfacial atomic amplitude β(z), Static lattice mismatch, Time-averaged atomic density profile ρ(z) of Al-PNL1","Potential well depth (Ew) — ""The potential well depth (Ew ) was defined as the energy minimum of this curve relative to the vacuum level, serving as a descriptor of the interfacial binding strength [10,12,40].""
Interfacial atomic amplitude β(z) — ""Based on these findings, interfacial atomic amplitude (especially β(z)) and static lattice mismatch can be used as key dynamic-static descriptors, and serve as criterions for designing efficient nucleation substrates.""
Static lattice mismatch — ""Based on these findings, interfacial atomic amplitude (especially β(z)) and static lattice mismatch can be used as key dynamic-static descriptors, and serve as criterions for designing efficient nucleation substrates.""
Time-averaged atomic density profile ρ(z) of Al-PNL1 — ""Therefore, the strength of such vertical confinement, time-averaged ρ(z) of Al-PNL1, can serve as a robust and representative descriptor for the templating efficiency.""",3,"The text explicitly names the key dynamic-static descriptors: 'interfacial atomic amplitude (especially β(z)) and static lattice mismatch can be used as key dynamic-static descriptors'. Combined with the potential well depth (Ew) and ρ(z) descriptors mentioned, but the core criterion sentence lists β(z) and static lattice mismatch as the key descriptors; counting the distinct named descriptors (β(z), static lattice mismatch, potential well depth) yields approximately 3 main descriptors.",RMSE < 0.05 eV/atom,"For these production runs, the MLFF demonstrated excellent convergence, reproducing DFT forces with a root-mean-square error (RMSE) consistently below 0.05 eV/atom.",0.05,RMSE,medium,"Most fields were found. The ML component is an on-the-fly MLFF used to drive AIMD simulations rather than a property-prediction model. Dataset_size is interpreted as the supercell atom count, which is somewhat ambiguous. Performance metric (RMSE) is clearly stated.",yes,"MLIP/force field (on-the-fly MLFF with Bayesian linear regression) used to drive AIMD simulations, not property prediction from a feature dataset.",claude-opus-4-8
Atomic-scale insights into the exceptional pinning effect of the K bubbles on W grain boundary,Chen M.,2026,10.1016/j.actamat.2025.121845,trained,NEP (neuroevolution potential),"NEP (neuroevolution potential) — ""In this study, a neuroevolution potential (NEP) was developed using machine learning to accurately describe the W-K system.""","equilibrium lattice constants, elastic constants, surface energies, vacancy/interstitial formation energies, melting point, diffusion energy barriers of K in W, substitution formation energy of K at W GB, energy, force, and virial","equilibrium lattice constants — ""The obtained WK-NEP was thoroughly validated against various fundamental physical properties of W and K, including equilibrium lattice constants, elastic constants, surface energies, vacancy/interstitial formation energies and melting point with comparisons made to experimental values, DFT calculations, and other empirical or machine-learned potentials.""
elastic constants — ""The obtained WK-NEP was thoroughly validated against various fundamental physical properties of W and K, including equilibrium lattice constants, elastic constants, surface energies, vacancy/interstitial formation energies and melting point with comparisons made to experimental values, DFT calculations, and other empirical or machine-learned potentials.""
surface energies — ""The obtained WK-NEP was thoroughly validated against various fundamental physical properties of W and K, including equilibrium lattice constants, elastic constants, surface energies, vacancy/interstitial formation energies and melting point with comparisons made to experimental values, DFT calculations, and other empirical or machine-learned potentials.""
vacancy/interstitial formation energies — ""The obtained WK-NEP was thoroughly validated against various fundamental physical properties of W and K, including equilibrium lattice constants, elastic constants, surface energies, vacancy/interstitial formation energies and melting point with comparisons made to experimental values, DFT calculations, and other empirical or machine-learned potentials.""
melting point — ""The melting point was determined by examining the final structural state - if the system maintained a stable solid-liquid coexistence phase, the target temperature was confirmed as the actual melting point.""
diffusion energy barriers of K in W — ""Additionally, the diffusion energy barriers of K in W and the substitution formation energy of K at W GB was calculated to demonstrate the rationality of describing the W-K binary system [41].""
substitution formation energy of K at W GB — ""Additionally, the diffusion energy barriers of K in W and the substitution formation energy of K at W GB was calculated to demonstrate the rationality of describing the W-K binary system [41].""
energy, force, and virial — ""Furthermore, the training dataset encompasses a broad range of energy, force, and virial values, ensuring the robustness and transferability of the NEP for molecular dynamics simulations across diverse scenarios.""",1140,"The 570 configurations obtained in (7) were subjected to atomic coordinate and box dimension perturbations, with each atomic displacement constrained to less than 0.1 Å, resulting in a total of 1140 structures.",computational,"In this work, the first-principles calculations primarily served to construct the training dataset and provide reference data for validating the WK-NEP potential.","radial descriptors, angular descriptors","radial descriptors — ""In NEP model, the descriptor vector consists of radial and angular descriptors.""
angular descriptors — ""In NEP model, the descriptor vector consists of radial and angular descriptors.""",2,"The text states the NEP descriptor vector consists of radial and angular descriptors ('In NEP model, the descriptor vector consists of radial and angular descriptors.'). These are the two descriptor categories fed into the model; no explicit numeric count of descriptor components is given.","RMSE energy=10.3 meV/atom, force=141 meV/Å, virial=54.6 meV/atom","For the training set, the converged RMSEs were 10.3 meV/atom, 141 meV/ Å, and 54.6 meV/atom for energy, force, and virial, respectively.",10.3,RMSE,high,"All core fields were found: ml_models (NEP), target_properties (multiple validated properties), dataset_size (1140), data_type (computational, DFT/AIMD training data), features (radial/angular descriptors), and performance metrics (RMSEs). Reported RMSEs are training-set values since test/training RMSEs are mentioned together.",yes,"MLIP/force field (neuroevolution potential) trained on DFT/AIMD data to drive MD simulations, not a property-prediction model from a feature dataset.",claude-opus-4-8
Towards DFT-accurate prediction of twin interface structure and motion in NiTi shape memory alloys,Ţurcan E.,2026,10.1016/j.actamat.2025.121651,trained,"PACE (Performant Atomic Cluster Expansion) interatomic potential, MEAM (Modified Embedded Atom Method) interatomic potential, Neural network interatomic potential (NN-IAP)","PACE (Performant Atomic Cluster Expansion) interatomic potential — ""In this work, we developed a machine learning interatomic potential (PACE-IAP) for NiTi SMAs utilising the ACE framework [39,43], based on an extensive DFT database [35].""
MEAM (Modified Embedded Atom Method) interatomic potential — ""We compared the performance of our PACE-IAPs to two widely used models: the Modified Embedded Atom Method (MEAM-IAP) by Ko et al.""
Neural network interatomic potential (NN-IAP) — ""Our PACE-IAP outperforms current empirical [23] and neural network [35] potentials in accurately predicting lattice parameters, elastic constants, and crucial aspects of the B2–B19’ transformation, especially twinning in the B19’ martensite phase.""","Lattice parameters, Elastic constants, Martensite microstructure, Phonon spectra, Energy and forces","Lattice parameters — ""Our PACE-IAP outperforms current empirical [23] and neural network [35] potentials in accurately predicting lattice parameters, elastic constants, and crucial aspects of the B2–B19’ transformation, especially twinning in the B19’ martensite phase.""
Elastic constants — ""2(b)), the PACE-IAP predicts a distribution of elastic constants that is closest to the DFT values [55], whereas the MEAM-IAP results are significantly scattered.""
Martensite microstructure — ""05 is being studied further to determine which IAP performs best in terms of predicting lattice parameters, elastic constants, martensite microstructure, and phonon spectra.""
Phonon spectra — ""05 is being studied further to determine which IAP performs best in terms of predicting lattice parameters, elastic constants, martensite microstructure, and phonon spectra.""
Energy and forces — ""For this potential, the corresponding training/testing energy and force RMSEs are 1.75/1.83 meV/atom and 76.96/77.41 meV/Å, respectively.""",10626,"[35], and comprises 10,626 close-to-stoichiometric NiTi configurations obtained from ab initio molecular dynamics (AIMD) simulations, including, among others, equilibrium bulk phases (B2, B19’, B19, B33, and R), off-stoichiometric structures, and active learning-supplemented configurations (e.g., strained supercells and stacking faults).",computational,"[35], and comprises 10,626 close-to-stoichiometric NiTi configurations obtained from ab initio molecular dynamics (AIMD) simulations, including, among others, equilibrium bulk phases (B2, B19’, B19, B33, and R), off-stoichiometric structures, and active learning-supplemented configurations (e.g., strained supercells and stacking faults).",NR,NR,NR,"The model is an interatomic potential that takes atomic configurations/environments as input via the atomic cluster expansion framework; no explicit list of input descriptors/features fed into the model is provided. The text describes hyperparameters (cutoff radius, number of basis functions, body order) rather than input features for property prediction.",RMSE energy/force = 1.83 meV/atom / 77.41 meV/Å (testing),"For this potential, the corresponding training/testing energy and force RMSEs are 1.75/1.83 meV/atom and 76.96/77.41 meV/Å, respectively.",1.83,RMSE,high,"ml_models, target_properties, dataset_size, data_type, and performance_metric were all clearly found and supported by verbatim quotes. Features list is empty and num_features is null because this is an MLIP that does not use a feature-based property prediction dataset, which is expected for this type of model.",yes,"MLIP/force field (PACE-IAP) for MD/atomistic simulations, not property prediction from a feature dataset.",claude-opus-4-8
"Tailoring thermal transport in (Sc,Yb)AlN thin films to the glassy limit",Qian Z.,2026,10.1016/j.actamat.2025.121767,trained,neuroevolution machine-learning potential (NEP),"neuroevolution machine-learning potential (NEP) — ""For HNEMD simulations and QHGK analysis, NEP [27] for Sc x Al1- x N and Yb x Al1- x N were constructed using the graphics processing unit molecular dynamics (GPUMD) package [29].""","lattice thermal conductivity, phonon group velocity","lattice thermal conductivity — ""This softening directly reduces the effective sound velocity and enhances the vibrational mode scattering, thus lowering the lattice thermal conductivity.""
phonon group velocity — ""These changes substantially reduce phonon group velocities throughout the Brillouin zone, thereby suppressing thermal transport compared to AlN.""",NR,"After geometric optimization, ab initial molecular dynamics (AIMD) with a 1 × 1 × 1 Gamma-point k-mesh at temperatures ranging from 50 K and 700 K were conducted to generate randomly displaced configurations.",computational,"To construct the NEP for HNEMD and QHGK analysis and for obtaining the D-C model parameters, first-principles calculations were performed within the framework of DFT using the Vienna Ab initio Simulation Package (VASP) [38].",NR,NR,NR,"The NEP is a machine-learned interatomic potential trained on DFT energies/forces from atomic configurations; the context does not enumerate specific input feature descriptors fed into a property-prediction model, so the features list is empty.",NR,"The training process of NEP and the comparison between the force, energy, and viral from NEP prediction and DFT calculation are shown in Fig.",NR,NR,medium,"ml_models and target_properties were found, and data_type is clearly computational. However, dataset_size is null (no explicit count given), features is empty (MLIP has no feature descriptors), and performance_metric is NR (no numeric RMSE reported in the provided text).",yes,"MLIP/force field (NEP) trained on DFT forces/energies to drive HNEMD/QHGK molecular dynamics simulations, not a property-prediction model from a feature dataset.",claude-opus-4-8
Dual role of Nb in defect-mediated strength and ductility of γ-TiAl alloys,,,10.1016/j.actamat.2026.122290,trained,Neural network potential (NNP),"Neural network potential (NNP) — ""We recently developed a general-purpose neural network potential (NNP) for the Ti-Al-Nb ternary system by integrating the neural evolution potential framework [ 23 ] with an active learning scheme, as published in [ Phys.""","Warren-Cowley parameter (short-range ordering), Lattice parameters, General stacking fault energies (GSFEs), Site occupancy preference of Nb","Warren-Cowley parameter (short-range ordering) — ""The Warren-Cowley parameter (WCP) [ 28 ] was used to characterize the SRO in the 1st-nearest neighbor shell of Nb-doped γ-TiAl samples: (2) WC P m n = 1 − Z m n / ( χ n Z m ) , where WCP mn describes the degree of SRO between atomic species m and n .""
Lattice parameters — ""The NNP-predicted lattice parameters of γ-TiAl are a = 3.986 Å, c = 4.084 Å, c / a = 1.024, showing excellent agreement with experimental values ( a = 3.988 Å, c = 4.067 Å) [ 31 ].""
General stacking fault energies (GSFEs) — ""General stacking fault energies (GSFEs) on the (111) plane were calculated at 0 K using a supercell containing 19,200 atoms, with dimensions of 90.45 × 98.82 × 34.83 Å 3 , as shown in Figure S1.""
Site occupancy preference of Nb — ""To study the site occupancy preference of Nb, we performed hybrid Monte Carlo and molecular dynamics (MCMD) simulations on Nb-doped γ-TiAl samples.""",NR,NR,computational,"Based on comprehensive first-principles training data and systematic validation, this NNP shows high accuracy for lattice, defect, and thermodynamic properties, including thermal expansion and melting behavior of TiAl alloys.",NR,NR,NR,"The context does not list any input descriptors/features fed into the NNP. NNPs use atomic environment descriptors, but these are not explicitly named in the provided sentences. The '2 stable stacking faults' mention refers to GSFE outputs, not model inputs.",NR,NR,NR,NR,medium,"ml_models, target_properties, and data_type are clearly supported. However, dataset_size, features, num_features, and performance_metric are all null/NR because the context provides no explicit numerical metric (only qualitative 'high accuracy'), no training set size count, and no named input descriptors.",yes,"MLIP/force field for MD, not property prediction — the only ML component is a neural network potential used to drive MCMD and MD simulations of energies/forces.",claude-opus-4-8
