title,authors,year,ml_category,ml_models,target_properties,dataset_size,data_type,features,num_features,notes
"Can machine learning predict the liquidus temperature of binary alloys?","He Y.",2026,trained,"Linear Regression, Random Forest, Deep Neural Network","Liquidus temperature (T_L) of binary alloys","85,523 alloy compositions from 429 binary alloy systems","Experimental (ASM Alloy Phase Diagram Database)","Atomic size difference, atomic size range, average melting temperature, difference in melting temperature, heat of mixing, normalized heat of mixing, crystal structure mismatch",7,"Multiple feature sets tested: Physically Informed (PI, 7 features — listed), Elemental Properties (EP, 14 per alloy system), Composition Fractions (Comp, 2 features), and Random (benchmark). The 7 PI features are the primary reported set. Dataset extracted from phase diagrams using WebPlotDigitizer."
"Role of dislocation locking and unlocking in the yield strength anomaly of γ-TiAl revealed by machine-learning moment tensor potential","Tan A.M.Z.",2026,trained,"Moment Tensor Potential (MTP/MLIP)","Interatomic energies and forces → dislocation core structures, locking/unlocking mechanisms in γ-TiAl","Not stated (DFT database cited as prior work)","Computational (DFT/VASP)","Atomic positions and species; MTP moment tensor descriptors (no hand-crafted feature vector)",Not listed,"MLIP model (MTP) trained on DFT database cited as reference [25]. Training database size not restated. The MTP is used as a surrogate for DFT to run MD/MS simulations — it is not a regression model predicting a scalar property from hand-crafted features."
"Machine-learning prediction for solid–liquid interfacial properties from micrographs in Al–Cu and Fe–Mn alloys","Sakai Y.",2026,trained,"Convolutional Neural Network (CNN), 2-output regression","Solid-liquid interfacial free energy (γ₀), anisotropy parameter (ε)","43,400 (Al-Cu) + 38,640 (Fe-Mn) phase-field simulation images","Computational (2D phase-field simulations; validated on experimental micrographs)","256×256 binary microstructure images (raw pixel input)","65,536 (image pixels)","The CNN takes 256×256 binary images as raw input. Post-hoc analysis identifies 5 morphological descriptors (interfacial density, mean absolute curvature, spectral spacing, sidebranch power ratio, orientation coherence) as most informative for interpretation, but these are not used as model inputs. Dataset is purely computational; trained model is then applied to real experimental micrographs for validation."
"Modulation of structural short-range order due to chemical patterning in multi-component amorphous interfacial complexions","Hessong E.C.",2026,trained,"MACE ML-IAP (equivariant message-passing GNN)","Interatomic energies and forces → dopant segregation, structural short-range order in Cu-Zr-Nb amorphous complexions","8,692 DFT configurations","Computational (DFT/VASP + MD/Monte Carlo)","Atomic positions and species (Cu, Zr, Nb); MACE equivariant descriptors (no hand-crafted feature vector)",Not listed,"MACE MLIP trained on Cu-Zr-Nb DFT configurations covering crystalline phases, solid solutions, and amorphous structures at 800–5000 K. RMSE: 5.4/5.9 meV/atom for energy. Used together with Monte Carlo simulations to study dopant segregation and structural SRO."
"Data-selective machine learning framework (DSML) for defect-aware, interpretable yield-strength prediction for LPBF-fabricated AlSi10Mg alloys","Lee J.A.",2026,trained,"Ensemble Tree Regressor (ETR, best black-box); Symbolic Regression (PySR, white-box); also LASSO, LLAR, KNN, Ridge, Bayesian Ridge, Linear Regression","Yield strength (σ_YS) of LPBF AlSi10Mg alloys; intermediate target: porosity","155 total (44 fully labeled + 111 process-only)","Experimental (literature compilation + new experiments)","Laser power (LP), scan speed (SS), layer thickness (LT), hatch spacing (HS), preheating temperature (T_pre), volumetric energy density (VED), cell size (d_cell), grain size (d_grain), porosity","8-9 (σ_YS model); 5 (porosity sub-model)","Two-stage framework: a porosity sub-model (5 process parameter features) feeds its output into the σ_YS model (8 or 9 features). Dataset 1 (44 samples) is fully labeled; Dataset 2 (111 samples) has only process params + porosity. Best black-box: ETR. Best white-box: Symbolic Regression (PySR), providing an interpretable equation."
"Revealing cryo-loading induced twinning and its impact on titanium via correlative data-driven mechanomicroscopy","Liang X.",2026,trained,"Locally Weighted Linear Regression (LWLR); Ridge Regression (RR)","Twin number per grain and twin area fraction (LWLR); nanoindentation hardness as function of grain orientation (RR)","~8,000 twins from EBSD (378 twinned grains); ~30,000 nanoindentation data points","Experimental (EBSD + nanoindentation on cryogenically rolled pure Ti)","LWLR: grain size, maximum effective Schmid factor (SF_max); RR: Phi angle (c-axis to normal direction)","2 (LWLR); 1 (RR)","Two separate ML models used for different sub-analyses: LWLR (grain size + Schmid factor → twin statistics) and Ridge Regression (Phi angle → nanoindentation hardness). The dataset is primarily statistical analysis of EBSD and nanoindentation maps, not a traditional train/test ML pipeline."
"Local chemical inhomogeneities in Al-containing multi-principal element alloys explored by utilizing an ab-initio based approach","Wang M.",2026,trained,"LASSO Cluster Expansion (CE); Agglomerative Hierarchical Clustering (AHC-Ward)","Mixing enthalpy of BCC configurations (CE); local atomic environment dispersion/LAED as composition undulation descriptor (AHC)","8,371 BCC DFT configs (4,454 retained after screening); 2,000-atom MC supercells","Computational (DFT/VASP + Monte Carlo using CE)","CE: cluster functions (2-body to 6-body interactions); AHC: local elemental concentrations of Ti, Al, Nb, Zr per atomic site","CE: LASSO-selected clusters (n/a); AHC: 4","Two distinct ML methods: (1) LASSO Cluster Expansion fitted to DFT energies for Ti-Al-Nb-Zr — features are cluster correlation functions; (2) Agglomerative Hierarchical Clustering on local composition vectors from MC simulations. CE cluster count determined by LASSO regularization and is not explicitly reported."
"Data-driven design of Nb-W refractory alloys using Transformer-based stress-strain modeling","Wei D.",2026,trained,"Multimodal Transformer Generative model for Stress-Strain curves (MTGSS)","Full tensile stress-strain curves (up to 2% strain); derived: yield strength, UTS, elongation","92 tensile stress-strain curves (8 literature + 84 experimental)","Experimental (Nb-based refractory alloys)","Alloy composition (elemental fractions) + thermomechanical processing conditions (encoded as Transformer tokens)",Not explicitly listed,"The MTGSS model generates entire stress-strain curves (512 uniformly spaced points per curve) given alloy composition and processing conditions. This is a generative/sequence model, not a standard regressor. Only 92 training samples — very small dataset for a Transformer. Compositions include Nb, W, Mo, Zr, Hf, Ti, Ta, Si, V, Sc, Ru, B, Y, C, N."
"Phase crossover enables large work output and low thermal hysteresis in shape memory actuation","Wang Y.",2026,"trained, finetuned","Ginzburg-Landau theory + finetuned surrogate model for transformation pathway mapping","Work output, thermal hysteresis, martensitic transformation pathway (B2→B19′ vs B2→B19) in TiNiCuHfCo SMAs","~7 compositions (Ti₅₀Ni₄₉.₃₋ₓCuₓHf₀.₃Co₀.₄, x=0,2,4,6,8,9,10)","Experimental (DSC, XRD, neutron diffraction, mechanical testing)","Composition fractions (Ginzburg-Landau order parameters guide feature engineering)",Not explicitly stated,"Primarily a physics/experimental study using Ginzburg-Landau theory. The finetuned ML category refers to a previously trained surrogate model that was adapted. The ML component is secondary; the main contribution is identifying the B19'-B19 phase crossover as a mechanism for large work output and low hysteresis. Dataset is very small (~7 compositions)."
"Data-driven determination of the critical inclusion characteristic size in powder metallurgy superalloys","Wang H.",2026,trained,"Multilayer Perceptron (MLP) Neural Network; Physics-informed CICS-Transformer","Critical inclusion characteristic size (CICS); low-cycle fatigue (LCF) life of PM Udimet 720Li","~720 CPFE simulation samples","Mixed (experimental fatigue tests + crystal plasticity finite element (CPFE) simulations)","Physics-informed CPFE features (Δε_xx cyclic principal strain amplitude, f2, f3); inclusion parameters: size, shape, location, elastic mismatch","≥3 physics features + inclusion geometric/elastic parameters","Physics-Informed CICS-Transformer combines CPFE simulation outputs with a Transformer architecture for small-sample prediction. The physics-informed features (Δε_xx, f2, f3) are derived from CPFE simulations of each inclusion scenario. Exact total feature count not enumerated in the text."
"Hydrogen diffusion in TiCr₂Hₓ Laves phases: A combined ab initio and machine-learning-potential study","Kumar P.",2026,trained,"Moment Tensor Potentials (MTP), fine-tuned: C14-MTP and C15-MTP","Hydrogen diffusion coefficients in C14 and C15 TiCr₂Hₓ Laves phases (x≤4); H migration barriers between interstitial sites","Not stated (pre-existing MTPs fine-tuned with additional DFT configurations)","Computational (DFT/VASP + MTP-driven MD)","Atomic positions and species (Ti, Cr, H); MTP moment tensor descriptors",Not listed,"Two separate MTPs trained for C14 (hexagonal) and C15 (cubic) crystal structures, fine-tuned from pre-existing potentials (prior work [32]). Used to run long MD simulations for hydrogen diffusion — direct DFT MD would be too expensive. Training database size for fine-tuning is not stated."
"Small features, big impact: Influence of overlooked microstructural features on high-entropy alloy predictions","Mousavi S.E.",2026,trained,"Gaussian Process Regression (GPR); Support Vector Regression (SVR)","Vickers hardness of AlCrFeNiTi high-entropy alloys","~203 total (~181 without nano-precipitates)","Experimental (literature-compiled HEA compositions + measured hardness)","Al, Cr, Fe, Ni, Ti elemental composition fractions",5,"Key finding: nano-precipitate presence (a microstructural feature not captured by composition) significantly degrades ML prediction accuracy. The model uses only 5 compositional features, which is why nano-precipitate effects are overlooked. Dataset of ~203 points is split by presence/absence of nano-precipitates."
"Predicting Interstitial Solutes in Refractory Complex Concentrated Alloys via a Combined Experimental and Computational Workflow: A Case Study on Oxygen in NbTaTiHf","Huang A.",2026,"trained, finetuned","ORB-v2 universal MLIP (GNN, fine-tuned foundation model); Bayesian optimization","Formation energies and site preferences of interstitial oxygen (O) in NbTaTiHf RCCAs; O segregation to grain boundaries","330 DFT structures (165 alloy + 165 alloy+O)","Mixed (experimental casting/characterization + DFT validation + MLIP simulations)","Crystal structure graphs (atomic positions, species); GNN learned representations (no hand-crafted feature vector)",Not listed,"ORB-v2 is a universal GNN-based MLIP (foundation model from OrbitMaterials) fine-tuned for the NbTaTiHf+O system. The workflow combines experimental alloy casting, DFT validation, and MLIP-based simulations. Bayesian optimization finds compositions that minimize O segregation to grain boundaries."
